model,accuracy,ci_95,accuracy_raw,ci_lower,ci_upper
CLIP_Shape,36.10%,"[35.20%, 36.99%]",0.360982,0.351964,0.369911
CLIP_Sketch,32.17%,"[31.29%, 33.04%]",0.321696,0.312944,0.330357
CLIP_Standard,31.66%,"[30.80%, 32.51%]",0.316607,0.308036,0.325089
ConvNeXt_FineTuned,77.13%,"[76.34%, 77.93%]",0.771339,0.763393,0.779286
ConvNeXt_ZeroShot,53.62%,"[52.69%, 54.53%]",0.536161,0.526875,0.545268
DINOv2,0.10%,"[0.04%, 0.16%]",0.000982,0.000446,0.001607
DeiT_ZeroShot,53.59%,"[52.66%, 54.51%]",0.535893,0.526607,0.545089
MAE,0.00%,"[0.00%, 0.00%]",0.0,0.0,0.0
RL_Attention_FineTuned,67.11%,"[66.24%, 67.98%]",0.671071,0.662411,0.679824
RL_Attention_ZeroShot,64.09%,"[63.20%, 64.96%]",0.640893,0.631964,0.649643
ResNet101_ZeroShot,36.62%,"[35.72%, 37.51%]",0.366161,0.357232,0.375092
ResNet50_FineTuned,76.07%,"[75.28%, 76.86%]",0.760714,0.752768,0.768571
ResNet50_ZeroShot,34.99%,"[34.11%, 35.88%]",0.349911,0.341071,0.358839
ViT-B/16_ZeroShot,53.19%,"[52.26%, 54.12%]",0.531875,0.522587,0.541161
ViT-B_16_FineTuned,80.34%,"[79.62%, 81.08%]",0.803393,0.796161,0.810804
