,ResNet50_ZeroShot,ResNet101_ZeroShot,ConvNeXt_ZeroShot,ViT-B/16_ZeroShot,DeiT_ZeroShot,MAE,DINOv2,CLIP_Standard,CLIP_Sketch,CLIP_Shape,RL_Attention_ZeroShot,ResNet50_FineTuned,ViT-B_16_FineTuned,ConvNeXt_FineTuned,RL_Attention_FineTuned
ResNet50_ZeroShot,1.0,0.5372321428571428,0.4725,0.47098214285714285,0.46598214285714284,0.0008928571428571428,0.0010714285714285715,0.33125,0.33625,0.3603571428571429,0.4344642857142857,0.3911607142857143,0.3765178571428571,0.38955357142857144,0.4288392857142857
ResNet101_ZeroShot,0.5372321428571428,1.0,0.49125,0.48830357142857145,0.478125,8.928571428571429e-05,0.0005357142857142857,0.34017857142857144,0.34330357142857143,0.3676785714285714,0.4608035714285714,0.4100892857142857,0.39223214285714286,0.40785714285714286,0.45107142857142857
ConvNeXt_ZeroShot,0.4725,0.49125,1.0,0.6829464285714286,0.6747321428571429,0.0010714285714285715,0.000625,0.38285714285714284,0.39964285714285713,0.431875,0.6404464285714285,0.5896428571428571,0.5729464285714285,0.5990178571428572,0.6347321428571429
ViT-B/16_ZeroShot,0.47098214285714285,0.48830357142857145,0.6829464285714286,1.0,0.6883928571428571,0.0007142857142857143,0.0010714285714285715,0.3938392857142857,0.406875,0.4398214285714286,0.6498214285714285,0.5919642857142857,0.5825892857142857,0.5950892857142858,0.6398214285714285
DeiT_ZeroShot,0.46598214285714284,0.478125,0.6747321428571429,0.6883928571428571,1.0,0.0013392857142857143,0.0008035714285714286,0.3888392857142857,0.3969642857142857,0.4303571428571429,0.6233928571428572,0.575625,0.5675892857142857,0.5809821428571429,0.6177678571428571
MAE,0.0008928571428571428,8.928571428571429e-05,0.0010714285714285715,0.0007142857142857143,0.0013392857142857143,1.0,0.002857142857142857,0.00026785714285714287,0.0007142857142857143,0.0014285714285714286,0.0,0.0,0.0,0.0,0.0
DINOv2,0.0010714285714285715,0.0005357142857142857,0.000625,0.0010714285714285715,0.0008035714285714286,0.002857142857142857,1.0,0.00125,0.0013392857142857143,0.000625,0.0007142857142857143,0.0008035714285714286,0.0014285714285714286,0.0011607142857142858,0.0008035714285714286
CLIP_Standard,0.33125,0.34017857142857144,0.38285714285714284,0.3938392857142857,0.3888392857142857,0.00026785714285714287,0.00125,1.0,0.6585714285714286,0.6059821428571428,0.3913392857142857,0.354375,0.3367857142857143,0.35214285714285715,0.38321428571428573
CLIP_Sketch,0.33625,0.34330357142857143,0.39964285714285713,0.406875,0.3969642857142857,0.0007142857142857143,0.0013392857142857143,0.6585714285714286,1.0,0.6736607142857143,0.398125,0.36151785714285717,0.34348214285714285,0.3595535714285714,0.39169642857142856
CLIP_Shape,0.3603571428571429,0.3676785714285714,0.431875,0.4398214285714286,0.4303571428571429,0.0014285714285714286,0.000625,0.6059821428571428,0.6736607142857143,1.0,0.44357142857142856,0.40267857142857144,0.3859821428571429,0.4000892857142857,0.4373214285714286
RL_Attention_ZeroShot,0.4344642857142857,0.4608035714285714,0.6404464285714285,0.6498214285714285,0.6233928571428572,0.0,0.0007142857142857143,0.3913392857142857,0.398125,0.44357142857142856,1.0,0.7141964285714286,0.6847321428571429,0.7034821428571428,0.78625
ResNet50_FineTuned,0.3911607142857143,0.4100892857142857,0.5896428571428571,0.5919642857142857,0.575625,0.0,0.0008035714285714286,0.354375,0.36151785714285717,0.40267857142857144,0.7141964285714286,1.0,0.7886607142857143,0.804375,0.7430357142857142
ViT-B_16_FineTuned,0.3765178571428571,0.39223214285714286,0.5729464285714285,0.5825892857142857,0.5675892857142857,0.0,0.0014285714285714286,0.3367857142857143,0.34348214285714285,0.3859821428571429,0.6847321428571429,0.7886607142857143,1.0,0.8028571428571428,0.7129464285714285
ConvNeXt_FineTuned,0.38955357142857144,0.40785714285714286,0.5990178571428572,0.5950892857142858,0.5809821428571429,0.0,0.0011607142857142858,0.35214285714285715,0.3595535714285714,0.4000892857142857,0.7034821428571428,0.804375,0.8028571428571428,1.0,0.7349107142857143
RL_Attention_FineTuned,0.4288392857142857,0.45107142857142857,0.6347321428571429,0.6398214285714285,0.6177678571428571,0.0,0.0008035714285714286,0.38321428571428573,0.39169642857142856,0.4373214285714286,0.78625,0.7430357142857142,0.7129464285714285,0.7349107142857143,1.0
