model,shape_acc_pct,texture_acc_pct,neither_rate_pct,shape_bias_pct
CLIP_Shape,33.41,12.38,54.22,72.97
CLIP_Sketch,29.96,11.22,58.82,72.75
CLIP_Standard,29.41,11.0,59.59,72.78
ConvNeXt_FineTuned,73.57,16.47,9.96,81.71
ConvNeXt_ZeroShot,48.86,20.22,30.92,70.73
DINOv2,0.09,0.14,99.77,40.91
DeiT_ZeroShot,49.8,21.3,28.9,70.04
MAE,0.0,0.0,100.0,0.0
RL_Attention_FineTuned,62.49,23.89,13.63,72.35
RL_Attention_ZeroShot,58.78,27.15,14.07,68.41
ResNet101_ZeroShot,34.64,12.68,52.69,73.21
ResNet50_FineTuned,72.44,16.48,11.08,81.47
ResNet50_ZeroShot,33.38,11.4,55.23,74.55
ViT-B/16_ZeroShot,48.55,22.55,28.9,68.28
ViT-B_16_FineTuned,77.28,14.79,7.93,83.93
