model,composition_type,accuracy,ci_95,accuracy_raw,ci_lower,ci_upper
CLIP_Shape,adain,69.81%,"[67.56%, 72.06%]",0.698125,0.675625,0.720625
CLIP_Shape,color_inversion,9.38%,"[8.00%, 10.81%]",0.09375,0.08,0.108125
CLIP_Shape,edge_conflict,1.69%,"[1.06%, 2.38%]",0.016875,0.010625,0.02375
CLIP_Shape,occlusion,52.25%,"[49.75%, 54.69%]",0.5225,0.4975,0.546875
CLIP_Shape,patch_shuffle,47.62%,"[45.12%, 50.06%]",0.47625,0.45125,0.500625
CLIP_Shape,superimposition,26.81%,"[24.62%, 28.94%]",0.268125,0.24625,0.289375
CLIP_Shape,texture_shape,45.12%,"[42.75%, 47.56%]",0.45125,0.4275,0.475625
CLIP_Sketch,adain,64.88%,"[62.56%, 67.19%]",0.64875,0.625625,0.671875
CLIP_Sketch,color_inversion,8.25%,"[6.94%, 9.62%]",0.0825,0.069375,0.09625
CLIP_Sketch,edge_conflict,1.62%,"[1.06%, 2.25%]",0.01625,0.010625,0.0225
CLIP_Sketch,occlusion,45.44%,"[43.00%, 47.81%]",0.454375,0.43,0.478125
CLIP_Sketch,patch_shuffle,39.50%,"[37.06%, 41.88%]",0.395,0.370625,0.41875
CLIP_Sketch,superimposition,24.69%,"[22.56%, 26.88%]",0.246875,0.225625,0.26875
CLIP_Sketch,texture_shape,40.81%,"[38.44%, 43.25%]",0.408125,0.384375,0.4325
CLIP_Standard,adain,63.12%,"[60.75%, 65.44%]",0.63125,0.6075,0.654375
CLIP_Standard,color_inversion,8.31%,"[7.00%, 9.69%]",0.083125,0.07,0.096875
CLIP_Standard,edge_conflict,1.44%,"[0.88%, 2.06%]",0.014375,0.00875,0.020625
CLIP_Standard,occlusion,45.19%,"[42.75%, 47.62%]",0.451875,0.4275,0.47625
CLIP_Standard,patch_shuffle,38.88%,"[36.44%, 41.25%]",0.38875,0.364375,0.4125
CLIP_Standard,superimposition,24.56%,"[22.44%, 26.69%]",0.245625,0.224375,0.266875
CLIP_Standard,texture_shape,40.12%,"[37.75%, 42.50%]",0.40125,0.3775,0.425016
ConvNeXt_FineTuned,adain,98.62%,"[98.00%, 99.19%]",0.98625,0.98,0.991875
ConvNeXt_FineTuned,color_inversion,58.88%,"[56.44%, 61.31%]",0.58875,0.564375,0.613125
ConvNeXt_FineTuned,edge_conflict,45.25%,"[42.81%, 47.69%]",0.4525,0.428125,0.476875
ConvNeXt_FineTuned,occlusion,98.50%,"[97.88%, 99.06%]",0.985,0.97875,0.990625
ConvNeXt_FineTuned,patch_shuffle,97.50%,"[96.69%, 98.25%]",0.975,0.966875,0.9825
ConvNeXt_FineTuned,superimposition,47.00%,"[44.56%, 49.44%]",0.47,0.445625,0.494375
ConvNeXt_FineTuned,texture_shape,94.19%,"[93.00%, 95.31%]",0.941875,0.93,0.953125
ConvNeXt_ZeroShot,adain,85.31%,"[83.56%, 87.00%]",0.853125,0.835625,0.87
ConvNeXt_ZeroShot,color_inversion,30.31%,"[28.06%, 32.62%]",0.303125,0.280625,0.32625
ConvNeXt_ZeroShot,edge_conflict,2.56%,"[1.81%, 3.38%]",0.025625,0.018125,0.03375
ConvNeXt_ZeroShot,occlusion,82.12%,"[80.31%, 83.94%]",0.82125,0.803125,0.839375
ConvNeXt_ZeroShot,patch_shuffle,73.06%,"[70.88%, 75.25%]",0.730625,0.70875,0.7525
ConvNeXt_ZeroShot,superimposition,37.56%,"[35.19%, 39.94%]",0.375625,0.351859,0.399375
ConvNeXt_ZeroShot,texture_shape,64.38%,"[62.00%, 66.69%]",0.64375,0.62,0.666875
DINOv2,adain,0.12%,"[0.00%, 0.31%]",0.00125,0.0,0.003125
DINOv2,color_inversion,0.12%,"[0.00%, 0.31%]",0.00125,0.0,0.003125
DINOv2,edge_conflict,0.19%,"[0.00%, 0.44%]",0.001875,0.0,0.004375
DINOv2,occlusion,0.12%,"[0.00%, 0.31%]",0.00125,0.0,0.003125
DINOv2,patch_shuffle,0.00%,"[0.00%, 0.00%]",0.0,0.0,0.0
DINOv2,superimposition,0.12%,"[0.00%, 0.31%]",0.00125,0.0,0.003125
DINOv2,texture_shape,0.00%,"[0.00%, 0.00%]",0.0,0.0,0.0
DeiT_ZeroShot,adain,79.94%,"[77.94%, 81.94%]",0.799375,0.779375,0.819375
DeiT_ZeroShot,color_inversion,43.12%,"[40.62%, 45.56%]",0.43125,0.40625,0.455625
DeiT_ZeroShot,edge_conflict,3.50%,"[2.62%, 4.44%]",0.035,0.02625,0.044375
DeiT_ZeroShot,occlusion,76.31%,"[74.25%, 78.44%]",0.763125,0.7425,0.784375
DeiT_ZeroShot,patch_shuffle,69.81%,"[67.56%, 72.06%]",0.698125,0.675625,0.720625
DeiT_ZeroShot,superimposition,40.06%,"[37.69%, 42.50%]",0.400625,0.376875,0.425
DeiT_ZeroShot,texture_shape,62.38%,"[60.00%, 64.75%]",0.62375,0.6,0.6475
MAE,adain,0.00%,"[0.00%, 0.00%]",0.0,0.0,0.0
MAE,color_inversion,0.00%,"[0.00%, 0.00%]",0.0,0.0,0.0
MAE,edge_conflict,0.00%,"[0.00%, 0.00%]",0.0,0.0,0.0
MAE,occlusion,0.00%,"[0.00%, 0.00%]",0.0,0.0,0.0
MAE,patch_shuffle,0.00%,"[0.00%, 0.00%]",0.0,0.0,0.0
MAE,superimposition,0.00%,"[0.00%, 0.00%]",0.0,0.0,0.0
MAE,texture_shape,0.00%,"[0.00%, 0.00%]",0.0,0.0,0.0
RL_Attention_FineTuned,adain,94.12%,"[92.94%, 95.25%]",0.94125,0.929375,0.9525
RL_Attention_FineTuned,color_inversion,44.88%,"[42.38%, 47.25%]",0.44875,0.42375,0.4725
RL_Attention_FineTuned,edge_conflict,16.12%,"[14.31%, 17.88%]",0.16125,0.143125,0.17875
RL_Attention_FineTuned,occlusion,94.81%,"[93.69%, 95.88%]",0.948125,0.936875,0.95875
RL_Attention_FineTuned,patch_shuffle,93.62%,"[92.38%, 94.75%]",0.93625,0.92375,0.9475
RL_Attention_FineTuned,superimposition,47.44%,"[44.88%, 49.88%]",0.474375,0.44875,0.49875
RL_Attention_FineTuned,texture_shape,78.75%,"[76.69%, 80.75%]",0.7875,0.766875,0.8075
RL_Attention_ZeroShot,adain,96.19%,"[95.19%, 97.12%]",0.961875,0.951875,0.97125
RL_Attention_ZeroShot,color_inversion,33.50%,"[31.19%, 35.81%]",0.335,0.311875,0.358125
RL_Attention_ZeroShot,edge_conflict,7.31%,"[6.06%, 8.56%]",0.073125,0.060625,0.085625
RL_Attention_ZeroShot,occlusion,95.94%,"[94.94%, 96.88%]",0.959375,0.949375,0.96875
RL_Attention_ZeroShot,patch_shuffle,94.56%,"[93.38%, 95.62%]",0.945625,0.93375,0.95625
RL_Attention_ZeroShot,superimposition,44.81%,"[42.38%, 47.25%]",0.448125,0.42375,0.4725
RL_Attention_ZeroShot,texture_shape,76.31%,"[74.25%, 78.31%]",0.763125,0.7425,0.783125
ResNet101_ZeroShot,adain,78.19%,"[76.19%, 80.19%]",0.781875,0.761875,0.801875
ResNet101_ZeroShot,color_inversion,6.56%,"[5.38%, 7.81%]",0.065625,0.05375,0.078125
ResNet101_ZeroShot,edge_conflict,1.00%,"[0.56%, 1.50%]",0.01,0.005625,0.015
ResNet101_ZeroShot,occlusion,48.50%,"[46.06%, 50.88%]",0.485,0.460625,0.50875
ResNet101_ZeroShot,patch_shuffle,49.50%,"[47.00%, 51.94%]",0.495,0.47,0.519375
ResNet101_ZeroShot,superimposition,26.75%,"[24.62%, 28.94%]",0.2675,0.24625,0.289375
ResNet101_ZeroShot,texture_shape,45.81%,"[43.38%, 48.25%]",0.458125,0.43375,0.4825
ResNet50_FineTuned,adain,97.19%,"[96.38%, 98.00%]",0.971875,0.96375,0.98
ResNet50_FineTuned,color_inversion,56.38%,"[53.94%, 58.81%]",0.56375,0.539375,0.588125
ResNet50_FineTuned,edge_conflict,48.12%,"[45.62%, 50.62%]",0.48125,0.45625,0.50625
ResNet50_FineTuned,occlusion,97.88%,"[97.12%, 98.56%]",0.97875,0.97125,0.985625
ResNet50_FineTuned,patch_shuffle,97.06%,"[96.19%, 97.88%]",0.970625,0.961875,0.97875
ResNet50_FineTuned,superimposition,43.50%,"[41.06%, 45.94%]",0.435,0.410625,0.459375
ResNet50_FineTuned,texture_shape,92.38%,"[91.00%, 93.62%]",0.92375,0.91,0.93625
ResNet50_ZeroShot,adain,73.69%,"[71.50%, 75.81%]",0.736875,0.715,0.758125
ResNet50_ZeroShot,color_inversion,7.44%,"[6.19%, 8.69%]",0.074375,0.061875,0.086875
ResNet50_ZeroShot,edge_conflict,0.62%,"[0.25%, 1.06%]",0.00625,0.0025,0.010625
ResNet50_ZeroShot,occlusion,44.69%,"[42.31%, 47.06%]",0.446875,0.423125,0.470625
ResNet50_ZeroShot,patch_shuffle,50.06%,"[47.56%, 52.50%]",0.500625,0.475625,0.525
ResNet50_ZeroShot,superimposition,25.75%,"[23.62%, 27.88%]",0.2575,0.23625,0.27875
ResNet50_ZeroShot,texture_shape,42.69%,"[40.25%, 45.06%]",0.426875,0.4025,0.450625
ViT-B/16_ZeroShot,adain,85.44%,"[83.69%, 87.19%]",0.854375,0.836875,0.871875
ViT-B/16_ZeroShot,color_inversion,15.44%,"[13.69%, 17.25%]",0.154375,0.136875,0.1725
ViT-B/16_ZeroShot,edge_conflict,4.38%,"[3.38%, 5.38%]",0.04375,0.03375,0.05375
ViT-B/16_ZeroShot,occlusion,81.00%,"[79.06%, 82.94%]",0.81,0.790625,0.829375
ViT-B/16_ZeroShot,patch_shuffle,76.75%,"[74.62%, 78.81%]",0.7675,0.74625,0.788125
ViT-B/16_ZeroShot,superimposition,41.06%,"[38.69%, 43.50%]",0.410625,0.386875,0.435
ViT-B/16_ZeroShot,texture_shape,68.25%,"[65.94%, 70.56%]",0.6825,0.659375,0.705625
ViT-B_16_FineTuned,adain,99.31%,"[98.88%, 99.69%]",0.993125,0.98875,0.996875
ViT-B_16_FineTuned,color_inversion,68.94%,"[66.62%, 71.19%]",0.689375,0.66625,0.711875
ViT-B_16_FineTuned,edge_conflict,55.56%,"[53.12%, 58.00%]",0.555625,0.53125,0.58
ViT-B_16_FineTuned,occlusion,98.69%,"[98.12%, 99.25%]",0.986875,0.98125,0.9925
