,ResNet50,ResNet101,ConvNeXt,ViT-B/16,DeiT,CLIP,ResNet50_FT,ViT-B/16_FT,ConvNeXt_FT,RL_Attention
ResNet50,1.0,0.5455357142857142,0.48482142857142857,0.48482142857142857,0.475,0.3607142857142857,0.43125,0.41160714285714284,0.4160714285714286,0.4544642857142857
ResNet101,0.5455357142857142,1.0,0.5044642857142857,0.5080357142857143,0.5017857142857143,0.3776785714285714,0.45714285714285713,0.45625,0.45267857142857143,0.48928571428571427
ConvNeXt,0.48482142857142857,0.5044642857142857,1.0,0.6535714285714286,0.6767857142857143,0.4,0.5857142857142857,0.6116071428571429,0.6357142857142857,0.6383928571428571
ViT-B/16,0.48482142857142857,0.5080357142857143,0.6535714285714286,1.0,0.6973214285714285,0.42678571428571427,0.6053571428571428,0.6401785714285714,0.6303571428571428,0.6491071428571429
DeiT,0.475,0.5017857142857143,0.6767857142857143,0.6973214285714285,1.0,0.43392857142857144,0.6098214285714286,0.6375,0.6517857142857143,0.6580357142857143
CLIP,0.3607142857142857,0.3776785714285714,0.4,0.42678571428571427,0.43392857142857144,1.0,0.39017857142857143,0.4,0.3991071428571429,0.425
ResNet50_FT,0.43125,0.45714285714285713,0.5857142857142857,0.6053571428571428,0.6098214285714286,0.39017857142857143,1.0,0.7392857142857143,0.7473214285714286,0.7678571428571429
ViT-B/16_FT,0.41160714285714284,0.45625,0.6116071428571429,0.6401785714285714,0.6375,0.4,0.7392857142857143,1.0,0.8276785714285714,0.775
ConvNeXt_FT,0.4160714285714286,0.45267857142857143,0.6357142857142857,0.6303571428571428,0.6517857142857143,0.3991071428571429,0.7473214285714286,0.8276785714285714,1.0,0.7839285714285714
RL_Attention,0.4544642857142857,0.48928571428571427,0.6383928571428571,0.6491071428571429,0.6580357142857143,0.425,0.7678571428571429,0.775,0.7839285714285714,1.0
